year,team_abb,player,college,round,pick,official_key
1998,LAL,Toby Bailey,UCLA,2,45,"Toby Bailey, 1998"
1998,MIN,Andrae Patterson,Indiana,2,46,"Andrae Patterson, 1998"
1998,TOR,Tyson Wheeler,Rhode Island,2,47,"Tyson Wheeler, 1998"
1998,CLE,Ryan Stack,South Carolina,2,48,"Ryan Stack, 1998"
1998,ATL,Cory Carr,Texas Tech,2,49,"Cory Carr, 1998"
1998,CHH,Andrew Betts,Cal State Long Beach,2,50,"Andrew Betts, 1998"
1998,MIA,Corey Brewer,Oklahoma,2,51,"Corey Brewer, 1998"
1998,SAS,Derrick Dial,Eastern Michigan,2,52,"Derrick Dial, 1998"
1998,DAL,Greg Buckner,Clemson,2,53,"Greg Buckner, 1998"
1998,DEN,Tremaine Fowlkes,Fresno State,2,54,"Tremaine Fowlkes, 1998"
1998,DEN,Ryan Bowen,Iowa,2,55,"Ryan Bowen, 1998"
1998,VAN,J.R. Henderson,UCLA,2,56,"J.R. Henderson, 1998"
1998,UTA,Torraye Braggs,Xavier,2,57,"Torraye Braggs, 1998"
1998,CHI,Maceo Baston,Michigan,2,58,"Maceo Baston, 1998"
1999,CHI,Elton Brand,Duke,1,1,"Elton Brand, 1999"
1999,VAN,Steve Francis,Maryland,1,2,"Steve Francis, 1999"
1999,CHH,Baron Davis,UCLA,1,3,"Baron Davis, 1999"
1999,LAC,Lamar Odom,Rhode Island,1,4,"Lamar Odom, 1999"
1999,TOR,Jonathan Bender,No US College,1,5,"Jonathan Bender, 1999"
1999,MIN,Wally Szczerbiak,Miami University,1,6,"Wally Szczerbiak, 1999"
1999,WAS,Richard Hamilton,UConn,1,7,"Richard Hamilton, 1999"
1999,CLE,Andre Miller,Utah,1,8,"Andre Miller, 1999"
1999,PHO,Shawn Marion,UNLV,1,9,"Shawn Marion, 1999"
1999,ATL,Jason Terry,Arizona,1,10,"Jason Terry, 1999"
1999,CLE,Trajan Langdon,Duke,1,11,"Trajan Langdon, 1999"
1999,TOR,Aleksandar Radojević,Barton County Community College,1,12,"Aleksandar Radojević, 1999"
1999,SEA,Corey Maggette,Duke,1,13,"Corey Maggette, 1999"
1999,MIN,William Avery,Duke,1,14,"William Avery, 1999"
1999,NYK,Frederic Weis,No US College,1,15,"Frederic Weis, 1999"
