,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,player
4,Career,Ole Miss,,129,105,3389,5.5,11.0,0.496,5.2,10.1,0.517,0.3,1.0,0.27699999999999997,3.8,5.5,0.6940000000000001,11.9,0.9,1.2,1.5,2.1,4.4,15.0,Sebastian Saiz
0,2001-02,Texas-Rio Grande Valley,Ind,30,1,728,6.4,12.4,0.513,5.7,10.1,0.56,0.7,2.3,0.31,4.9,6.4,0.769,5.9,2.1,0.8,0.5,2.9,4.8,18.4,Andrius Sakalys
1,2003-04,Texas-Rio Grande Valley,Ind,28,26,840,3.7,9.8,0.374,2.9,6.9,0.424,0.8,3.0,0.258,2.6,3.3,0.7709999999999999,4.6,2.1,0.8,0.3,2.6,3.9,10.7,Andrius Sakalys
2,Career,Texas-Rio Grande Valley,,58,27,1568,4.9,11.0,0.447,4.2,8.4,0.5,0.7,2.7,0.27899999999999997,3.7,4.8,0.77,5.2,2.1,0.8,0.4,2.7,4.3,14.3,Andrius Sakalys
0,2015-16,La Salle,A-10,19,0,257,7.8,12.0,0.649,7.6,11.1,0.69,0.2,0.9,0.16699999999999998,2.2,5.8,0.37799999999999995,6.2,2.6,1.4,1.4,5.0,7.0,17.9,Yevgen Sakhniuk
1,2016-17,La Salle,A-10,17,1,83,3.9,8.7,0.444,3.9,8.7,0.444,0.0,0.0,,1.4,2.9,0.5,4.8,2.4,0.5,1.0,2.4,6.3,9.2,Yevgen Sakhniuk
2,Career,La Salle,,36,1,340,6.8,11.2,0.611,6.7,10.5,0.64,0.1,0.7,0.16699999999999998,2.0,5.1,0.395,5.9,2.6,1.2,1.3,4.4,6.8,15.8,Yevgen Sakhniuk
0,2020-21,Coppin State,MEAC,13,4,120,3.7,8.7,0.423,1.0,2.7,0.375,2.7,6.0,0.444,0.7,1.0,0.667,3.0,1.7,0.7,0.3,1.7,5.3,10.7,Domantas Sakickas
1,Career,Coppin State,,13,4,120,3.7,8.7,0.423,1.0,2.7,0.375,2.7,6.0,0.444,0.7,1.0,0.667,3.0,1.7,0.7,0.3,1.7,5.3,10.7,Domantas Sakickas
0,2019-20,Harvard,Ivy,20,1,140,4.0,10.6,0.37799999999999995,1.7,4.0,0.429,2.3,6.6,0.348,1.7,2.3,0.75,3.4,2.6,0.3,0.3,3.1,4.9,12.0,Luka Sakota
1,Career,Harvard,,20,1,140,4.0,10.6,0.37799999999999995,1.7,4.0,0.429,2.3,6.6,0.348,1.7,2.3,0.75,3.4,2.6,0.3,0.3,3.1,4.9,12.0,Luka Sakota
0,1996-97,San Diego State,WAC,5,0,36,10.0,20.0,0.5,10.0,20.0,0.5,0.0,0.0,,4.4,6.7,0.667,3.3,0.0,2.2,1.1,2.2,3.3,24.4,Ephraim Salaam
1,Career,San Diego State,,5,0,36,10.0,20.0,0.5,10.0,20.0,0.5,0.0,0.0,,4.4,6.7,0.667,3.3,0.0,2.2,1.1,2.2,3.3,24.4,Ephraim Salaam
0,2015-16,Bethune-Cookman,MEAC,27,7,326,4.4,11.7,0.379,1.2,3.1,0.4,3.2,8.6,0.371,0.6,1.1,0.556,5.4,1.3,0.6,0.0,1.0,4.0,12.6,Josue Salaam
1,2016-17,Bethune-Cookman,MEAC,21,7,250,3.8,12.0,0.32,1.0,2.6,0.375,2.9,9.4,0.305,0.5,0.5,1.0,5.3,1.8,1.4,0.5,1.3,3.7,11.0,Josue Salaam
